name,b,bi,bdt,bdti,h,hi,hdt,hdti,class,type,issniper,isbolt,isdw,firetype,clipsize,maxammo,headmultiplier,multiplier,,,10/20/30/40:90
karma_1911,0,0,0,0,0,0,0,0,pistol,bullet,0,0,single,Single Shot,8,80,,,,,
karma_b23r,1687,2530,6748,10122,3749,5623.5,14996,22494,pistol,bullet,0,0,single,Burst,15,105,1,1.5,10122,22494,
karma_b23r_up,3124,4686,12496,18744,6249,9373.5,24996,37494,pistol,bullet,0,0,single,Full Auto,20,180,1,2.3,28740.8,57490.8,full auto*
karma_b23r_up2,7499,11248.5,29996,44994,14999,22498.5,59996,89994,pistol spread,bullet,0,0,single,Full Auto,20,240,1,1.5,44994,89994,full auto*
karma_olympia,6360,9540,25440,38160,25441,38161.5,101764,152646,spread,bullet,0,0,single,Single Shot,2,28,1,1,25440,101764,
karma_olympia_up,5653,8479.5,22612,33918,22614,33921,90456,135684,spread,bullet,0,0,single,Single Shot,2,28,0.7,1,22612,63319.2,
karma_olympia_up2,8706,13059,34824,52236,0,0,0,0,spread,bullet,0,0,single,Single Shot,2,28,1,1.5,52236,52236,weird stuff going on
karma_m14,1093,1639.5,4372,6558,3281,4921.5,13124,19686,rifle,bullet,0,0,single,Single Shot,8,96,1,3,13116,39372,
karma_m14_up,1875,2812.5,7500,11250,12500,18750,50000,75000,rifle,bullet,0,0,single,Single Shot,16,192,0.3,3,22500,45000,
karma_m14_up2,1666,2499,6664,9996,12500,18750,50000,75000,rifle,bullet,0,0,single,Burst,30,360,0.3,5,33320,75000,burst!
karma_kap,5735,8602.5,22940,34410,17205,25807.5,68820,103230,pistol,bullet,0,0,single,Full Auto,18,162,0.6,1,22940,41292,
karma_kap_up,7352,11028,29408,44112,22058,33087,88232,132348,pistol,bullet,0,0,single,Full Auto,20,140,0.6,1,29408,52939.2,
karma_kap_up2,8235,12352.5,32940,49410,24705,37057.5,98820,148230,pistol,bullet,0,0,single,Full Auto,35,420,0.8,1,32940,79056,
karma_python,9375,14062.5,37500,56250,15625,23437.5,62500,93750,pistol,bullet,0,0,single,Single Shot,6,84,1,0.3,11250,18750,
karma_python_up,12187,18280.5,24374,36561,54166,81249,108332,162498,pistol,projectile,0,0,single,Single Shot,12,312,0.4,1,24374,43332.8,
karma_python_up2,12187,18280.5,24374,36561,54166,81249,108332,162498,pistol,projectile,0,0,single,Single Shot,24,120,0.7,1.2,29248.8,90998.88,
karma_judge,21874,32811,87496,131244,43749,65623.5,174996,262494,spread,bullet,0,0,single,Single Shot,5,75,1,0.18,15749.28,31499.28,
karma_judge_up,28124,42186,112496,168744,56249,84373.5,224996,337494,spread,bullet,0,0,single,Single Shot,5,85,1,0.18,20249.28,40499.28,
karma_judge_up2,31874,47811,127496,191244,63749,95623.5,254996,382494,spread,bullet,0,0,single,Single Shot,1,100,1.1,0.25,31874,70123.9,
karma_m27,2237,3355.5,8948,13422,11187,16780.5,44748,67122,rifle,bullet,0,0,single,Full Auto,30,240,0.7,1.4,12527.2,43853.04,
karma_m27_up,2800,4200,11200,16800,14000,21000,56000,84000,rifle,bullet,0,0,single,Full Auto,50,500,0.5,2.4,26880,67200,
karma_m27_up2,4090,6135,16360,24540,20454,30681,81816,122724,rifle,bullet,0,0,single,Full Auto,75,375,0.38,2.8,45808,87052.224,also has burn!!
karma_ksg,720,1080,2880,4320,1120,1680,4480,6720,rifle,bullet,0,1,single,Full Auto,10,100,2.5,5,14400,56000,
karma_ksg_up,810,1215,1620,2430,3600,5400,7200,10800,rifle,projectile,0,1,single,Single Shot,14,126,0.3,30,48600,64800,slow moving explosive
karma_ksg_up2,1500,2250,3000,4500,0,0,0,0,rifle,projectile,0,1,single,Single Shot,18,162,0.3,20,60000,0,slow moving explosive
karma_ks23,2240,3360,8960,13440,6720,10080,26880,40320,spread,bullet,0,1,single,Single Shot,4,40,1,1.5,13440,40320,
karma_ks23_up,5760,8640,23040,34560,17280,25920,69120,103680,spread,bullet,0,1,single,Single Shot,4,36,1,1,23040,69120,
karma_ks23_up2,0,0,0,0,17280,25920,69120,103680,spread,bullet,0,1,single,Single Shot,6,60,0.8,1.5,0,82944,
karma_s12,4374,6561,17496,26244,13124,19686,52496,78744,spread,bullet,0,0,single,Single Shot,10,50,0.8,0.8,13996.8,33597.44,
karma_s12_up,40799,61198.5,81598,122397,271999,407999,543998,815997,rifle,projectile,0,0,single,Burst,60,360,0.3,0.3,24479.4,48959.82,
