a0,b1,c2,,
0,bodystyle,0,none,
2,bodystyle,1,cp_mi_eth_prologue,
1,bodystyle,2,cp_mi_zurich_newworld,
3,bodystyle,3,cp_mi_sing_blackstation,
4,bodystyle,4,cp_mi_sing_biodomes,
5,bodystyle,5,cp_mi_sing_sgen,
6,bodystyle,6,cp_mi_sing_vengeance,
7,bodystyle,7,cp_mi_cairo_ramses,
8,bodystyle,8,cp_mi_cairo_infection,
9,bodystyle,9,cp_mi_cairo_aquifer,
10,bodystyle,10,cp_mi_cairo_lotus,
11,bodystyle,11,cp_mi_zurich_coalescence,
12,helmetstyle,0,none,
13,helmetstyle,1,none,
14,helmetstyle,2,cp_mi_eth_prologue,
15,helmetstyle,3,cp_mi_zurich_newworld,
16,helmetstyle,4,cp_mi_sing_blackstation,
17,helmetstyle,5,cp_mi_sing_biodomes,
18,helmetstyle,6,cp_mi_sing_sgen,
19,helmetstyle,7,cp_mi_sing_vengeance,
20,helmetstyle,8,cp_mi_cairo_ramses,
21,helmetstyle,9,cp_mi_cairo_infection,
22,helmetstyle,10,cp_mi_cairo_aquifer,
23,helmetstyle,11,cp_mi_cairo_lotus,
24,helmetstyle,12,cp_mi_zurich_coalescence,
