a0,b1,c2,d3,e4,g5,g6,h7,i8,j9,k10,l11,m12,n13,o14,p15,p16,p17
maxrank,34,,,,,,,,,,,,,,,,
0,zm_rank_1,0,3300,RANK_ZM_FULL_1,RANK_ZM_FULL_1,rank_pvc,0,,,,,,1,1,,RANK_PFC_FULL,
1,zm_rank_2,0,10444,RANK_ZM_FULL_2,RANK_ZM_FULL_2,rank_pvc,0,,,,,,2,2,,RANK_PFC_FULL_N,
2,zm_rank_3,0,15516,RANK_ZM_FULL_3,RANK_ZM_FULL_3,rank_pvc,0,,,,,,3,3,,RANK_PFC_FULL_N,
3,zm_rank_4,0,19449,RANK_ZM_FULL_4,RANK_ZM_FULL_4,rank_lcpl,0,,,,,,4,4,,RANK_LCPL_FULL,
4,zm_rank_5,0,22663,RANK_ZM_FULL_5,RANK_ZM_FULL_5,rank_lcpl,0,,,,,,5,5,,RANK_LCPL_FULL_N,
5,zm_rank_6,0,25380,RANK_ZM_FULL_6,RANK_ZM_FULL_6,rank_lcpl,0,,,,,,6,6,,RANK_LCPL_FULL_N,
6,zm_rank_7,0,27734,RANK_ZM_FULL_7,RANK_ZM_FULL_7,rank_cpl,0,,,,,,7,7,,RANK_CPL_FULL,
7,zm_rank_8,0,29810,RANK_ZM_FULL_8,RANK_ZM_FULL_8,rank_cpl,0,,,,,,8,8,,RANK_CPL_FULL_N,
8,zm_rank_9,0,31667,RANK_ZM_FULL_9,RANK_ZM_FULL_9,rank_cpl,0,,,,,,9,9,,RANK_CPL_FULL_N,
9,zm_rank_10,0,33347,RANK_ZM_FULL_10,RANK_ZM_FULL_10,rank_sgt,0,,,,,,10,10,,RANK_SGT_FULL,
10,zm_rank_11,0,34880,RANK_ZM_FULL_11,RANK_ZM_FULL_11,rank_sgt,0,,,,,,11,11,,RANK_SGT_FULL_N,
11,zm_rank_12,0,36291,RANK_ZM_FULL_12,RANK_ZM_FULL_12,rank_sgt,0,,,,,,12,12,,RANK_SGT_FULL_N,
12,zm_rank_13,0,37597,RANK_ZM_FULL_13,RANK_ZM_FULL_13,rank_ssgt,0,,,,,,13,13,,RANK_SSGT_FULL,
13,zm_rank_14,0,38813,RANK_ZM_FULL_14,RANK_ZM_FULL_14,rank_ssgt,0,,,,,,14,14,,RANK_SSGT_FULL_N,
14,zm_rank_15,0,39951,RANK_ZM_FULL_15,RANK_ZM_FULL_15,rank_ssgt,0,,,,,,15,15,,RANK_SSGT_FULL_N,
15,zm_rank_16,0,41019,RANK_ZM_FULL_16,RANK_ZM_FULL_16,rank_gysgt,0,,,,,,16,16,,RANK_GYSGT_FULL,
16,zm_rank_17,0,42027,RANK_ZM_FULL_17,RANK_ZM_FULL_17,rank_gysgt,0,,,,,,17,17,,RANK_GYSGT_FULL_N,
17,zm_rank_18,0,42980,RANK_ZM_FULL_18,RANK_ZM_FULL_18,rank_gysgt,0,,,,,,18,18,,RANK_GYSGT_FULL_N,
18,zm_rank_19,0,43884,RANK_ZM_FULL_19,RANK_ZM_FULL_19,rank_msgt,0,,,,,,19,19,,RANK_MSGT_FULL,
19,zm_rank_20,0,44744,RANK_ZM_FULL_20,RANK_ZM_FULL_20,rank_msgt,0,,,,,,20,20,,RANK_MSGT_FULL_N,
20,zm_rank_21,0,45564,RANK_ZM_FULL_21,RANK_ZM_FULL_21,rank_msgt,0,,,,,,21,21,,RANK_MSGT_FULL_N,
21,zm_rank_22,0,46347,RANK_ZM_FULL_22,RANK_ZM_FULL_22,rank_mgysgt,0,,,,,,22,22,,RANK_MGYSGT_FULL,
22,zm_rank_23,0,47098,RANK_ZM_FULL_23,RANK_ZM_FULL_23,rank_mgysgt,0,,,,,,23,23,,RANK_MGYSGT_FULL_N,
23,zm_rank_24,0,47817,RANK_ZM_FULL_24,RANK_ZM_FULL_24,rank_mgysgt,0,,,,,,24,24,,RANK_MGYSGT_FULL_N,
24,zm_rank_25,0,48508,RANK_ZM_FULL_25,RANK_ZM_FULL_25,rank_2ndlt,0,,,,,,25,25,,RANK_2NDLT_FULL,
25,zm_rank_26,0,49174,RANK_ZM_FULL_26,RANK_ZM_FULL_26,rank_2ndlt,0,,,,,,26,26,,RANK_2NDLT_FULL_N,
26,zm_rank_27,0,49815,RANK_ZM_FULL_27,RANK_ZM_FULL_27,rank_2ndlt,0,,,,,,27,27,,RANK_2NDLT_FULL_N,
27,zm_rank_28,0,50433,RANK_ZM_FULL_28,RANK_ZM_FULL_28,rank_lt,0,,,,,,28,28,,RANK_LT_FULL,
28,zm_rank_29,0,51031,RANK_ZM_FULL_29,RANK_ZM_FULL_29,rank_lt,0,,,,,,29,29,,RANK_LT_FULL_N,
29,zm_rank_30,0,51609,RANK_ZM_FULL_30,RANK_ZM_FULL_30,rank_lt,0,,,,,,30,30,,RANK_TLT_FULL_N,
30,zm_rank_31,0,52168,RANK_ZM_FULL_31,RANK_ZM_FULL_31,rank_cpt,0,,,,,,31,31,,RANK_CPT_FULL,
31,zm_rank_32,0,52711,RANK_ZM_FULL_32,RANK_ZM_FULL_32,rank_cpt,0,,,,,,32,32,,RANK_CPT_FULL_N,
32,zm_rank_33,0,53237,RANK_ZM_FULL_33,RANK_ZM_FULL_33,rank_cpt,0,,,,,,33,33,,RANK_CPT_FULL_N,
33,zm_rank_34,0,53748,RANK_ZM_FULL_34,RANK_ZM_FULL_34,rank_maj,0,,,,,,34,34,,RANK_MAJ_FULL,
34,zm_rank_35,0,54244,RANK_ZM_FULL_35,RANK_ZM_FULL_35,rank_maj,0,,,,,,35,35,,RANK_MAJ_FULL_N,
