a0,b1,c2,d3,e4,f5,g6,h7,i8,j9,k10,l11,m12,n13,o14,p15,q16,r17,s18,t19,u20,v21,w22,x23
0,none,none,MPUI_NO_ATTACHMENT,none,,weapon_missing_image,MPUI_NO_ATTACHMENT_DESC,MPUI_NO_ATTACHMENT_DESC,,0,,,,,,,,,,,,,
1,top,optic,MPUI_ACOG,acog,,cac_mods_acog,MPUI_ACOG_DESC,MPUI_ACOG_DESC,ACOG,1,,damage fastreload extbarrel extclip fastreload fmj gl grip quickdraw rf sf stackfire stalker steadyaim suppressed gmod6 gmod7,1,,,,,,0,,,,
2,rig,rig,MPUI_DAMAGE,damage,,cac_mods_high_caliber,MPUI_DAMAGE_DESC,MPUI_DAMAGE_DESC,DAMAGE,2,,acog dualoptic extbarrel extclip fastreload fmj gl grip holo ir is mms  quickdraw rangefinder reddot reflex rf sf stackfire stalker steadyaim suppressed swayreduc tacknife vzoom dynzoom gmod6 gmod7,1,,,,,,0,,,,
3,trigger,rig,MPUI_DUALCLIP,dualclip,,cac_mods_dual_clip,MPUI_DUALCLIP_DESC,MPUI_DUALCLIP_DESC,DUALCLIP,3,,gmod6 gmod7,1,,,,,,0,,,,
4,top,optic,MPUI_DUALOPTIC,dualoptic,,cac_mods_combo_r_a,MPUI_DUALOPTIC_DESC,MPUI_DUALOPTIC_DESC,dualoptic,4,,damage extbarrel extclip fastreload fmj grip  quickdraw rf stackfire stalker steadyaim suppressed gmod6 gmod7,1,,,,,,0,,,,
5,bottom,rig,MPUI_DW,dw,,cac_mods_dual_wield,MPUI_DW_DESC,MPUI_DW_DESC,dw,5,,gmod6 gmod7,1,,,,,,0,,,,
6,top,optic,MPUI_DYNZOOM,dynzoom,,cac_mods_dynzoom,MPUI_DYNZOOM_DESC,MPUI_DYNZOOM_DESC,DYNZOOM,6,,damage fastreload extbarrel extclip fastreload fmj gl grip   quickdraw rf sf stackfire stalker steadyaim suppressed swayreduc gmod6 gmod7,1,,,,,,0,,,,
7,muzzle,rig,MPUI_EXTBARREL,extbarrel,,cac_mods_barrel_extend,MPUI_EXTBARREL_DESC,MPUI_EXTBARREL_DESC,extbarrel,7,,acog damage dualoptic extclip fastreload fmj gl grip holo ir is mms  quickdraw rangefinder reddot reflex rf sf stackfire stalker steadyaim suppressed swayreduc tacknife vzoom dynzoom gmod6 gmod7,1,,,,,,0,,,,
8,trigger,rig,MPUI_EXTCLIP,extclip,,cac_mods_extended_mag,MPUI_EXTCLIP_DESC,MPUI_EXTCLIP_DESC,EXTCLIP,8,,acog damage dualoptic extbarrel fastreload fmj gl grip holo ir is mms  quickdraw rangefinder reddot reflex rf sf stackfire stalker steadyaim suppressed swayreduc tacknife vzoom dynzoom gmod6 gmod7,1,,,,,,0,,,,
9,gunperk,rig,MPUI_FASTADS,fastads,,cac_mods_pistol_grip,MPUI_FASTADS_DESC,MPUI_FASTADS_DESC,fastads,9,,gmod6 gmod7,1,,,,,,0,,,,
10,gunperk,rig,MPUI_FASTRELOAD,fastreload,,cac_mods_dual_clip,MPUI_FASTRELOAD_DESC,MPUI_FASTRELOAD_DESC,fastreload,10,,acog damage dualoptic extbarrel extclip fastreload fmj gl grip holo ir is mms  quickdraw rangefinder reddot reflex rf sf stackfire stalker steadyaim suppressed swayreduc tacknife vzoom dynzoom gmod6 gmod7,1,,,,,,0,,,,
11,trigger,rig,MPUI_FMJ,fmj,,cac_mods_fmj,MPUI_FMJ_DESC,CPUI_FMJ_DESC,FMJ,11,,acog damage dualoptic extbarrel extclip fastreload gl grip holo ir is  quickdraw rangefinder reddot reflex rf sf stackfire stalker steadyaim suppressed swayreduc tacknife vzoom dynzoom gmod6 gmod7,1,,,,,,0,,,,
12,bottom,rig,MPUI_GL,gl,,hud_grenade_launcher,MPUI_GL_DESC,MPUI_GL_DESC,GL,12,,acog damage extbarrel extclip fastreload fmj grip holo ir is mms  quickdraw rangefinder reddot reflex rf stackfire stalker steadyaim suppressed swayreduc tacknife vzoom dynzoom gmod6 gmod7,1,,,,,,0,,,,
13,gunperk,mod,MPUI_GADGET_MOD0,gmod0,,cac_gmod0,MPUI_GMODS_STRINGS_IN_GDT_AU_GADGET,MPUI_GMODS_STRINGS_IN_GDT_AU_GADGET,gmod0,13,,,1,,,,,,0,,,,
14,gunperk,mod,MPUI_GADGET_MOD1,gmod1,,cac_gmod1,MPUI_GMODS_STRINGS_IN_GDT_AU_GADGET,MPUI_GMODS_STRINGS_IN_GDT_AU_GADGET,gmod1,14,,,1,,,,,,0,,,,
15,gunperk,mod,MPUI_GADGET_MOD2,gmod2,,cac_gmod2,MPUI_GMODS_STRINGS_IN_GDT_AU_GADGET,MPUI_GMODS_STRINGS_IN_GDT_AU_GADGET,gmod2,15,,,1,,,,,,0,,,,
16,gunperk,mod,MPUI_GADGET_MOD3,gmod3,,cac_gmod3,MPUI_GMODS_STRINGS_IN_GDT_AU_GADGET,MPUI_GMODS_STRINGS_IN_GDT_AU_GADGET,gmod3,16,,,1,,,,,,0,,,,
17,gunperk,mod,MPUI_GADGET_MOD0,gmod4,,cac_gmod4,MPUI_GMODS_STRINGS_IN_GDT_AU_GADGET,MPUI_GMODS_STRINGS_IN_GDT_AU_GADGET,gmod4,17,,,1,,,,,,0,,,,
